id,sign,type,m,sigma,graphtype,src,isValidation,answer,error,unsignedError,index,,,
15,1,line,0.1,0.1,line,data/P15/line/line/S0.1m0.1.png,,,,,0,0.1,,
15,1,line,0.2,0.1,trig,data/P15/trig/line/S0.1m0.2.png,,,,,1,0.2,,
15,-1,line,0.1,0.1,line,data/P15/line/line/S0.1m-0.1.png,,,,,2,-0.1,,
15,1,line,0.8,0.1,quad,data/P15/quad/line/S0.1m0.8.png,,,,,3,0.8,,
15,-1,line,0.2,0.1,line,data/P15/line/line/S0.1m-0.2.png,,,,,4,-0.2,,
15,-1,line,0.4,0.1,quad,data/P15/quad/line/S0.1m-0.4.png,,,,,5,-0.4,,
15,-1,line,0.8,0.1,quad,data/P15/quad/line/S0.1m-0.8.png,,,,,6,-0.8,,
15,1,line,0.4,0.1,quad,data/P15/quad/line/S0.1m0.4.png,,,,,7,0.4,,
15,1,linetrend,0.4,0.2,quad,data/P15/quad/linetrend/S0.2m0.4.png,1,,,,8,0.4,,
15,1,line,0.1,0.15,trig,data/P15/trig/line/S0.15m0.1.png,,,,,9,0.1,,
15,1,line,0.2,0.15,trig,data/P15/trig/line/S0.15m0.2.png,,,,,10,0.2,,
15,-1,line,0.1,0.15,trig,data/P15/trig/line/S0.15m-0.1.png,,,,,11,-0.1,,
15,1,line,0.8,0.15,trig,data/P15/trig/line/S0.15m0.8.png,,,,,12,0.8,,
15,-1,line,0.2,0.15,trig,data/P15/trig/line/S0.15m-0.2.png,,,,,13,-0.2,,
15,-1,line,0.4,0.15,line,data/P15/line/line/S0.15m-0.4.png,,,,,14,-0.4,,
15,-1,line,0.8,0.15,line,data/P15/line/line/S0.15m-0.8.png,,,,,15,-0.8,,
15,1,line,0.4,0.15,trig,data/P15/trig/line/S0.15m0.4.png,,,,,16,0.4,,
15,1,line,0.1,0.05,quad,data/P15/quad/line/S0.05m0.1.png,,,,,17,0.1,,
15,1,line,0.2,0.05,quad,data/P15/quad/line/S0.05m0.2.png,,,,,18,0.2,,
