id,sign,type,m,sigma,graphtype,src,isValidation,answer,error,unsignedError,index,,,
14,-1,line,0.8,0.05,trig,data/P14/trig/line/S0.05m-0.8.png,,,,,0,-0.8,,
14,1,line,0.1,0.05,quad,data/P14/quad/line/S0.05m0.1.png,,,,,1,0.1,,
14,1,line,0.8,0.05,quad,data/P14/quad/line/S0.05m0.8.png,,,,,2,0.8,,
14,1,line,0.4,0.05,line,data/P14/line/line/S0.05m0.4.png,,,,,3,0.4,,
14,-1,line,0.1,0.05,quad,data/P14/quad/line/S0.05m-0.1.png,,,,,4,-0.1,,
14,-1,line,0.2,0.05,line,data/P14/line/line/S0.05m-0.2.png,,,,,5,-0.2,,
14,-1,line,0.4,0.05,quad,data/P14/quad/line/S0.05m-0.4.png,,,,,6,-0.4,,
14,1,line,0.2,0.05,line,data/P14/line/line/S0.05m0.2.png,,,,,7,0.2,,
14,-1,line,0.8,0.1,quad,data/P14/quad/line/S0.1m-0.8.png,,,,,8,-0.8,,
14,1,line,0.1,0.1,trig,data/P14/trig/line/S0.1m0.1.png,,,,,9,0.1,,
14,1,line,0.8,0.1,line,data/P14/line/line/S0.1m0.8.png,,,,,10,0.8,,
14,-1,linetrend,0.4,0.15,trig,data/P14/trig/linetrend/S0.15m-0.4.png,1,,,,11,-0.4,,
14,1,line,0.4,0.1,trig,data/P14/trig/line/S0.1m0.4.png,,,,,12,0.4,,
14,-1,line,0.1,0.1,quad,data/P14/quad/line/S0.1m-0.1.png,,,,,13,-0.1,,
14,-1,line,0.2,0.1,trig,data/P14/trig/line/S0.1m-0.2.png,,,,,14,-0.2,,
14,-1,line,0.4,0.1,quad,data/P14/quad/line/S0.1m-0.4.png,,,,,15,-0.4,,
14,1,line,0.2,0.1,quad,data/P14/quad/line/S0.1m0.2.png,,,,,16,0.2,,
14,-1,line,0.8,0.2,trig,data/P14/trig/line/S0.2m-0.8.png,,,,,17,-0.8,,
14,1,line,0.1,0.2,quad,data/P14/quad/line/S0.2m0.1.png,,,,,18,0.1,,
14,1,line,0.8,0.2,line,data/P14/line/line/S0.2m0.8.png,,,,,19,0.8,,
14,1,line,0.4,0.2,quad,data/P14/quad/line/S0.2m0.4.png,,,,,20,0.4,,
14,-1,line,0.1,0.2,line,data/P14/line/line/S0.2m-0.1.png,,,,,21,-0.1,,
14,-1,line,0.2,0.2,line,data/P14/line/line/S0.2m-0.2.png,,,,,22,-0.2,,
14,-1,line,0.4,0.2,trig,data/P14/trig/line/S0.2m-0.4.png,,,,,23,-0.4,,
14,1,line,0.2,0.2,line,data/P14/line/line/S0.2m0.2.png,,,,,24,0.2,,
14,-1,line,0.8,0.15,quad,data/P14/quad/line/S0.15m-0.8.png,,,,,25,-0.8,,
14,1,line,0.1,0.15,line,data/P14/line/line/S0.15m0.1.png,,,,,26,0.1,,
14,1,line,0.8,0.15,trig,data/P14/trig/line/S0.15m0.8.png,,,,,27,0.8,,
